customer_id,person_type,legal_name,trade_name,tax_id,state_registration,email,phone,is_active
1,PJ,Alves e Filhos S.A.,da Cruz,11713629000103,321819600,alves.e.filhos.s.a.1@example.com,5533989083863,True
2,PF,Lara Abreu,,72890168662,,lara.abreu.2@example.com,55065942351161,False
3,PF,Dr. João Aparecida,,21754824560,,dr.jo.o.aparecida.3@example.com,55081961849593,True
4,PJ,Aparecida e Filhos Ltda,Vargas da Rocha S/A,61265639000193,316475255,aparecida.e.filhos.ltda.4@example.com,5541992832764,True
5,PF,Hellena Rodrigues,,93400262684,,hellena.rodrigues.5@example.com,5503905641395,True
6,PF,Theo Gonçalves,,429721404,,theo.gon.alves.6@example.com,55024923884969,True
7,PF,Maria Cecília Câmara,,99767757171,,maria.cec.lia.c.mara.7@example.com,55087910122691,True
8,PF,Maria Helena Peixoto,,15181443060,,maria.helena.peixoto.8@example.com,55084980184514,True
9,PF,Eduarda Marques,,42188462009,,eduarda.marques.9@example.com,5548928148932,True
10,PF,Sr. Vitor Hugo Vasconcelos,,31005262446,,sr.vitor.hugo.vasconcelos.10@example.com,5509957015430,True
11,PJ,Nunes Barros S/A Ltda,Azevedo,30591520000187,822782489,nunes.barros.s.a.ltda.11@example.com,5538934657871,True
12,PF,Henry Gabriel Azevedo,,48171305636,,henry.gabriel.azevedo.12@example.com,5509983930103,True
13,PJ,Andrade Ltda.,,95941359000170,183473829,andrade.ltda.13@example.com,5573976311656,True
14,PJ,Martins ME,,23062378000115,ISENTO,martins.me.14@example.com,5572962473178,True
15,PJ,Aragão e Filhos Ltda,Borges S.A.,3855975000190,267736026,arag.o.e.filhos.ltda.15@example.com,5564974687234,True
16,PF,Benjamin Pacheco,,21166696189,,benjamin.pacheco.16@example.com,5505900978820,True
17,PJ,Cirino S/A S.A.,Rocha S.A.,56132960000160,619399091,cirino.s.a.s.a.17@example.com,5599985435346,True
18,PJ,Rios Ramos Ltda.,Dias,21989622000164,107991183,rios.ramos.ltda.18@example.com,5542951354278,True
19,PF,Sra. Vitória Albuquerque,,2524336107,,sra.vit.ria.albuquerque.19@example.com,5541924118244,True
20,PJ,Silva Fernandes S.A.,Montenegro,88142597000150,740164005,silva.fernandes.s.a.20@example.com,55042978680112,True
21,PF,Ana Carolina Freitas,,44728487164,,ana.carolina.freitas.21@example.com,5582962045053,True
22,PF,Isadora Rios,,98235269740,,isadora.rios.22@example.com,5558969232260,True
23,PF,Lucas Gabriel Viana,,69638060638,,lucas.gabriel.viana.23@example.com,5534921607337,True
24,PF,Dr. Ian Câmara,,55512236636,,dr.ian.c.mara.24@example.com,5536954145868,True
25,PF,Sr. Danilo da Luz,,98582268106,,sr.danilo.da.luz.25@example.com,55094901965569,True
26,PJ,Gomes - EI EIRELI,da Cunha Aparecida e Filhos,91478345000100,608835615,gomes.ei.eireli.26@example.com,5551948465648,True
27,PF,Gael Leão,,99077203800,,gael.le.o.27@example.com,5529994680443,True
28,PJ,Viana ME,,4761354000100,995777387,viana.me.28@example.com,55014989513433,True
29,PJ,Alves Aparecida S.A.,Pimenta,76540303000169,176936763,alves.aparecida.s.a.29@example.com,55001963287083,True
30,PF,Rafael Carvalho,,98403535198,,rafael.carvalho.30@example.com,55088995798687,True
31,PJ,Souza Melo - ME,,20167512000154,434873471,souza.melo.me.31@example.com,5534955812236,False
32,PJ,Santos Cunha S/A S.A.,Jesus,60134360000108,587603669,santos.cunha.s.a.s.a.32@example.com,5596970546688,True
33,PJ,Mendonça Câmara Ltda.,Mendonça,26497722000197,065627298,mendon.a.c.mara.ltda.33@example.com,5569990162720,True
34,PJ,Garcia ME,Cunha,12720833000106,755646417,garcia.me.34@example.com,5580953100330,True
35,PJ,da Costa Cardoso - ME,,89402136000131,193745299,da.costa.cardoso.me.35@example.com,5524919049663,True
36,PJ,Pastor e Filhos S.A.,Caldeira Sampaio Ltda.,80054696000178,919058651,pastor.e.filhos.s.a.36@example.com,5550967165726,True
37,PF,Vicente Rezende,,77164512949,,vicente.rezende.37@example.com,5598977694531,True
38,PJ,Machado ME,,73208006000122,379965075,machado.me.38@example.com,55073954549480,True
39,PJ,Barros da Costa e Filhos S.A.,Mendonça,53669193000134,837770143,barros.da.costa.e.filhos.s.a.39@example.com,5534995788568,True
40,PF,Dr. Rafael da Mata,,26739473889,,dr.rafael.da.mata.40@example.com,5543913518233,True
41,PF,Sra. Kamilly Silveira,,63579866311,,sra.kamilly.silveira.41@example.com,5589941343524,True
42,PF,Vitor Cardoso,,48553909689,,vitor.cardoso.42@example.com,5500984271094,True
43,PJ,Mendes S.A.,Fernandes,60666029000139,204711671,mendes.s.a.43@example.com,5502929413186,True
44,PJ,Vasconcelos Moreira - ME,Macedo,65657070000162,496499091,vasconcelos.moreira.me.44@example.com,5534912328120,True
45,PF,Milena Sales,,10937233943,,milena.sales.45@example.com,5574903447134,True
46,PF,Fernanda Lima,,50760729026,,fernanda.lima.46@example.com,5583924210249,True
47,PJ,Macedo ME,Martins e Filhos,73736641000182,464887719,macedo.me.47@example.com,5565994013990,True
48,PF,Juliana Oliveira,,37888454739,,juliana.oliveira.48@example.com,5527987429671,True
49,PJ,Ferreira Ltda,,16325767000120,655125674,ferreira.ltda.49@example.com,5580971545168,True
50,PJ,Ribeiro - EI Ltda,,19022427000119,760385977,ribeiro.ei.ltda.50@example.com,5534982477109,True
51,PF,Emanuel das Neves,,6465786931,,emanuel.das.neves.51@example.com,5508961317127,True
52,PJ,TBD,Leão,78182247000163,773782639,moraes.eireli.52@example.com,5521946584044,True
53,PF,Rebeca Cassiano,,49528407862,,rebeca.cassiano.53@example.com,55087955886753,True
54,PF,Srta. Maria Isis da Conceição,,97604667830,,srta.maria.isis.da.concei.o.54@example.com,5505976627028,True
55,PF,Luísa Brito,,78656050052,ISENTO,lu.sa.brito.55@example.com,55018970262174,True
56,PF,Dr. Bruno Farias,,22194196226,,dr.bruno.farias.56@example.com,5565978091343,True
57,PF,Srta. Maya Brito,,92764905742,,srta.maya.brito.57@example.com,5572940050455,True
58,PF,Clara da Cruz,,10787972428,,clara.da.cruz.58@example.com,5569922219693,True
59,PF,Cecília da Conceição,,35703947359,,cec.lia.da.concei.o.59@example.com,55047940748217,True
60,PJ,Pastor ME,Porto,13299018000188,647436713,pastor.me.60@example.com,5595994406409,True
61,PF,Ana Julia Pereira,,59376607066,,ana.julia.pereira.61@example.com,55043995339421,True
62,PF,Ana Cecília das Neves,,9300997530,0,ana.cec.lia.das.neves.62@example.com,55009952145623,True
63,PJ,Viana Nogueira Ltda.,,42242226000149,884247451,viana.nogueira.ltda.63@example.com,55012936851604,True
64,PJ,Marques Ltda.,Pacheco,82843952000131,651370985,marques.ltda.64@example.com,5531974612004,True
65,PF,Bruna Brito,,64352107999,,bruna.brito.65@example.com,5582967586926,True
